GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MineSweeper,default,Board,154,158,27,12,35,22,21,12,2,9
MineSweeper,default,Game,422,91,64,4,91,27,45,6,13,3
MineSweeper,default,Mine,35,154,13,19,8,30,9,13,1,5
MineSweeper,default,Main,10,0,0,0,4,0,2,0,2,0
